                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 2.8345,                 1.8872,                0.98179,                0.62066,                0.62091,                0.61239,                0.18804,                 2.6027,                 1.3063,                0.92789,             6.0504e-05,             6.0504e-05,             6.0504e-05
                     83,                 2.8375,                 1.8848,                0.98024,                0.62982,                0.61429,                0.62113,                0.19516,                  2.617,                 1.2893,                0.93023,             6.0004e-05,             6.0004e-05,             6.0004e-05
                     84,                 2.8069,                 1.8647,                0.97404,                0.65803,                0.62645,                0.62944,                 0.1962,                 2.6113,                 1.2933,                0.93127,             5.9504e-05,             5.9504e-05,             5.9504e-05
                     85,                 2.8082,                 1.8835,                0.97733,                0.62853,                0.62803,                0.62158,                0.19431,                 2.6179,                 1.2911,                0.93004,             5.9004e-05,             5.9004e-05,             5.9004e-05
                     86,                 2.8123,                 1.8173,                0.97604,                0.61312,                0.59428,                0.59662,                0.18514,                 2.6337,                 1.3004,                0.93032,             5.8504e-05,             5.8504e-05,             5.8504e-05
                     87,                 2.7922,                 1.8545,                0.97063,                0.60739,                0.63309,                0.61271,                0.19405,                 2.5809,                 1.3027,                0.92485,             5.8004e-05,             5.8004e-05,             5.8004e-05
                     88,                 2.8174,                 1.8533,                0.97489,                 0.5975,                0.61582,                0.60194,                0.18784,                 2.6409,                 1.3042,                0.93124,             5.7504e-05,             5.7504e-05,             5.7504e-05
                     89,                 2.8157,                 1.8183,                0.96843,                0.60541,                0.63267,                 0.6234,                0.19149,                 2.6107,                  1.287,                0.92886,             5.7004e-05,             5.7004e-05,             5.7004e-05
                     90,                 2.8002,                 1.8424,                0.97752,                0.60229,                0.60157,                 0.6042,                 0.1841,                  2.656,                 1.2886,                 0.9355,             5.6504e-05,             5.6504e-05,             5.6504e-05
                     91,                 2.7973,                 1.7558,                0.96307,                0.64058,                0.62422,                0.62497,                0.19327,                 2.6149,                 1.2901,                0.92981,             5.6005e-05,             5.6005e-05,             5.6005e-05
                     92,                 2.7853,                 1.8144,                0.96675,                 0.6354,                0.62924,                0.62698,                0.19283,                 2.6195,                 1.2768,                0.93199,             5.5505e-05,             5.5505e-05,             5.5505e-05
                     93,                  2.807,                 1.8375,                0.97935,                0.62642,                0.61516,                0.60549,                0.18626,                 2.6507,                 1.2867,                0.93261,             5.5005e-05,             5.5005e-05,             5.5005e-05
                     94,                 2.7563,                 1.7792,                0.97244,                0.64722,                0.64526,                0.64557,                0.19734,                 2.5917,                 1.2621,                0.92779,             5.4505e-05,             5.4505e-05,             5.4505e-05
                     95,                  2.821,                 1.7755,                0.95483,                0.63739,                0.64632,                0.63737,                0.19722,                 2.5978,                 1.2663,                 0.9277,             5.4005e-05,             5.4005e-05,             5.4005e-05
                     96,                 2.7913,                 1.7929,                0.96976,                0.64899,                 0.6324,                0.64045,                0.19433,                 2.6058,                 1.2635,                0.92883,             5.3505e-05,             5.3505e-05,             5.3505e-05
                     97,                 2.8088,                   1.82,                0.96891,                 0.6558,                0.60966,                 0.6192,                0.18858,                 2.6319,                 1.2938,                0.93046,             5.3005e-05,             5.3005e-05,             5.3005e-05
                     98,                 2.7725,                 1.7581,                0.96387,                0.62687,                 0.6036,                0.60909,                0.18521,                 2.6445,                 1.2733,                0.93155,             5.2505e-05,             5.2505e-05,             5.2505e-05
                     99,                 2.7764,                 1.7595,                0.96313,                0.66112,                0.61257,                0.61846,                 0.1871,                 2.6128,                 1.2789,                0.92856,             5.2005e-05,             5.2005e-05,             5.2005e-05
                    100,                 2.7692,                 1.7567,                0.96166,                0.62664,                0.63676,                0.62641,                 0.1915,                 2.6128,                 1.2671,                0.92934,             5.1505e-05,             5.1505e-05,             5.1505e-05
                    101,                 2.7914,                 1.8072,                0.97117,                0.64739,                 0.6168,                0.62556,                0.19466,                 2.5936,                 1.2684,                0.92921,             5.1005e-05,             5.1005e-05,             5.1005e-05
                    102,                 2.7222,                 1.7651,                0.96822,                0.65036,                0.61516,                 0.6256,                0.19493,                 2.6123,                 1.2955,                0.92873,             5.0505e-05,             5.0505e-05,             5.0505e-05
                    103,                  2.746,                  1.719,                0.95671,                 0.6749,                0.64027,                0.64739,                0.19821,                 2.6042,                 1.2578,                0.92814,             5.0005e-05,             5.0005e-05,             5.0005e-05
                    104,                  2.802,                 1.7977,                0.96889,                0.68187,                0.62737,                0.64976,                0.19491,                 2.5924,                 1.2551,                0.92688,             4.9505e-05,             4.9505e-05,             4.9505e-05
                    105,                 2.7475,                 1.7661,                0.96694,                 0.6383,                0.61687,                 0.6242,                0.18833,                 2.6259,                 1.2647,                0.93304,             4.9005e-05,             4.9005e-05,             4.9005e-05
                    106,                 2.7625,                 1.7868,                0.96812,                0.65127,                0.63354,                0.63569,                0.19599,                 2.5845,                 1.2439,                0.92707,             4.8505e-05,             4.8505e-05,             4.8505e-05
                    107,                 2.7774,                 1.7644,                 0.9715,                0.66125,                0.64164,                0.64093,                  0.191,                 2.6131,                 1.2673,                0.93222,             4.8005e-05,             4.8005e-05,             4.8005e-05
                    108,                 2.7401,                 1.7372,                0.96425,                0.68302,                0.64252,                0.65903,                0.19922,                 2.5934,                 1.2484,                0.92801,             4.7505e-05,             4.7505e-05,             4.7505e-05
                    109,                 2.7575,                 1.7632,                0.96622,                0.65586,                0.63542,                0.63851,                 0.1942,                 2.6009,                 1.2558,                0.92995,             4.7005e-05,             4.7005e-05,             4.7005e-05
                    110,                 2.6874,                  1.729,                0.96118,                 0.6488,                0.61695,                0.63008,                0.19393,                 2.5989,                 1.2495,                0.92958,             4.6505e-05,             4.6505e-05,             4.6505e-05
                    111,                  2.741,                 1.7198,                0.95444,                0.66739,                0.65266,                0.65086,                0.19928,                 2.5795,                 1.2532,                0.92606,             4.6005e-05,             4.6005e-05,             4.6005e-05
                    112,                 2.6954,                 1.7406,                0.96219,                 0.6504,                0.64544,                0.64289,                0.19865,                 2.5919,                 1.2543,                0.92584,             4.5506e-05,             4.5506e-05,             4.5506e-05
